season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_sd,a_local,a_long,cluster
1,0,1000,1,3,3,0,2,150,0,0,P
1,0,500,1,4,2,0,2,25,15,0,Q
2,2,500,0,5,3,0,2,200,400,0,Q
1,0,1000,1,3,2,0,2,150,50,0,Q
2,2,1000,0,5,3,0,2,100,50,0,Q
2,2,500,1,4,3,0,2,100,0,0,P
1,0,1000,0,3,3,0,2,50,100,0,Q
1,2,500,1,4,2,0,2,25,20,0,Q
1,0,500,0,4,3,0,2,600,200,0,Q
2,1,500,0,4,3,0,2,100,50,0,Q
2,1,1000,1,4,2,0,2,300,100,0,Q
2,1,500,0,4,3,0,2,200,200,0,Q
2,2,1000,0,4,3,0,2,150,100,0,Q
1,1,500,0,4,3,0,2,100,50,0,Q
2,0,1000,1,3,3,0,2,150,0,0,P
1,2,500,0,3,3,0,2,400,400,0,Q
1,0,500,0,5,3,0,2,600,0,0,Q
2,2,1000,1,4,2,0,2,400,600,0,Q
2,0,1000,0,4,3,0,2,200,200,0,Q
2,2,500,1,5,2,0,2,150,100,0,Q
1,0,1000,0,4,3,0,2,200,0,0,Q
1,1,500,1,4,2,0,2,150,50,0,Q
1,1,500,0,4,3,0,2,50,100,0,Q
2,2,500,0,5,3,0,2,400,600,0,Q
2,1,500,0,4,3,0,2,50,100,0,Q
2,1,500,1,4,2,0,2,150,50,0,Q
1,0,500,0,3,3,0,2,300,0,0,Q
2,0,1000,0,4,3,0,2,200,0,0,Q
2,2,1000,1,4,2,0,2,200,400,0,Q
1,0,500,0,4,3,0,2,300,100,0,Q
1,2,500,0,3,3,0,2,200,600,0,Q
2,1,500,0,4,3,0,2,600,0,0,Q
2,1,500,1,4,2,0,2,200,100,0,Q
2,1,1000,1,4,2,0,2,600,200,0,Q
2,2,1000,0,5,3,0,2,50,100,0,Q
2,2,1000,1,5,2,0,2,150,50,0,Q
2,0,1000,1,4,2,0,2,200,100,0,Q
1,0,1000,0,3,3,0,2,100,50,0,Q
1,0,1000,1,4,2,0,2,25,10,0,Q
1,2,500,1,4,2,0,2,600,200,0,Q
2,1,1000,0,3,3,0,2,200,600,0,Q
1,0,1000,1,5,2,0,2,150,100,0,Q
2,0,500,1,5,2,0,2,200,400,0,Q
1,2,1000,1,5,2,0,2,200,200,0,Q
1,0,1000,0,5,3,0,2,400,600,0,Q
1,1,1000,1,5,2,0,2,600,400,0,Q
1,0,500,1,3,2,0,2,400,400,0,Q
1,1,500,1,5,2,0,2,600,400,0,Q
2,0,500,1,4,3,0,2,200,0,0,P
1,2,1000,1,4,2,0,2,300,50,0,Q
1,0,1000,1,4,2,0,2,15,25,0,Q
1,0,1000,0,5,3,0,2,200,400,0,Q
2,1,500,1,3,2,0,2,600,600,0,Q
2,0,500,1,5,2,0,2,400,600,0,Q
2,0,500,0,5,3,0,2,150,100,0,Q
2,0,1000,1,3,2,0,2,600,600,0,Q
2,1,1000,0,3,3,0,2,400,400,0,Q
1,2,1000,0,5,3,0,2,200,100,0,Q
1,2,500,1,4,2,0,2,300,100,0,Q
2,0,1000,1,4,2,0,2,15,25,0,Q
2,0,500,0,3,3,0,2,150,0,0,Q
1,1,500,1,5,3,0,2,200,0,0,P
1,0,500,1,3,2,0,2,200,600,0,Q
2,1,1000,0,5,3,0,2,300,100,0,Q
1,1,500,1,3,2,0,2,400,200,0,Q
1,0,500,1,5,2,0,2,600,200,0,Q
1,2,1000,0,3,3,0,2,300,50,0,Q
1,2,500,1,5,2,0,2,300,50,0,Q
2,0,500,1,5,3,0,2,100,0,0,P
