season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,1,500,0,4,2,0,3,150,25,75,306
1,1,1000,0,5,2,0,2,20,0,5,390
1,0,1000,1,3,3,0,2,150,0,0,157
2,2,500,0,5,2,0,3,100,25,150,166
1,0,500,1,4,2,0,2,25,15,0,69
2,2,500,0,5,3,0,2,200,400,0,105
2,1,500,0,5,2,0,3,150,75,100,174
1,0,1000,0,5,1,0,1,600,400,0,431
1,0,1000,1,3,2,0,2,150,50,0,29
2,2,1000,0,5,3,0,2,100,50,0,109
2,2,500,0,5,2,0,3,125,75,100,197
2,2,500,1,4,3,0,2,100,0,0,158
2,0,500,0,5,1,0,3,75,25,125,263
2,1,1000,0,5,2,0,3,600,200,400,170
1,0,1000,0,3,3,0,2,50,100,0,111
2,1,1000,0,5,3,0,3,125,50,25,228
2,1,1000,0,5,2,0,3,100,100,75,193
2,2,1000,0,4,2,0,3,150,75,75,299
2,2,500,0,4,3,0,3,400,600,400,334
2,2,500,0,4,3,0,3,50,50,125,343
2,1,1000,0,4,3,0,3,300,100,100,375
1,2,500,1,4,2,0,2,25,20,0,67
1,0,500,0,4,3,0,2,600,200,0,93
2,0,1000,0,3,1,0,3,300,0,50,382
1,1,1000,0,5,1,0,1,150,100,0,442
2,1,500,0,4,3,0,2,100,50,0,79
2,0,500,0,5,1,0,3,125,0,75,271
2,2,1000,0,5,2,0,3,125,0,150,188
2,1,1000,1,4,2,0,2,300,100,0,30
2,1,500,0,4,3,0,2,200,200,0,90
2,2,500,0,4,2,0,3,400,0,100,326
2,2,1000,0,4,3,0,2,150,100,0,87
1,1,500,0,5,1,0,1,150,100,0,442
2,1,1000,0,4,2,0,3,600,400,200,309
2,2,500,0,4,3,0,3,75,100,75,342
2,2,1000,0,5,2,0,3,125,50,50,196
2,1,500,0,4,2,0,3,400,100,200,313
1,1,500,0,4,3,0,2,100,50,0,79
2,2,1000,0,4,2,0,3,600,600,200,294
1,2,1000,0,5,2,0,2,25,0,5,390
2,0,500,0,5,1,0,3,600,0,600,272
2,1,1000,0,5,2,0,3,125,50,125,175
2,1,500,0,3,2,0,3,125,75,50,386
2,0,1000,1,3,3,0,2,150,0,0,157
1,2,500,0,3,3,0,2,400,400,0,93
1,0,500,0,5,3,0,2,600,0,0,124
2,2,1000,0,5,3,0,3,125,75,125,204
2,1,1000,0,5,3,0,3,125,0,125,256
2,2,1000,1,4,2,0,2,400,600,0,48
2,1,500,0,4,3,0,3,600,200,600,369
2,2,1000,0,4,3,0,3,200,100,50,341
2,0,1000,0,4,3,0,2,200,200,0,90
2,2,500,0,4,3,0,3,100,25,25,356
2,2,1000,0,3,2,0,3,125,25,50,386
2,0,500,0,5,1,0,3,125,25,125,262
2,0,1000,0,5,1,0,3,75,25,75,263
2,2,500,1,5,2,0,2,150,100,0,56
2,2,1000,0,5,2,0,3,75,0,75,187
2,1,1000,0,5,3,0,3,75,50,125,246
2,2,1000,0,3,2,0,3,75,100,50,386
1,2,1000,0,4,1,0,3,100,0,75,407
1,0,1000,0,4,3,0,2,200,0,0,129
1,1,500,1,4,2,0,2,150,50,0,25
2,1,1000,0,4,3,0,3,100,75,100,372
2,2,500,0,4,3,0,3,125,100,75,331
2,1,500,0,4,3,0,3,150,100,75,360
1,2,1000,0,4,1,0,3,100,0,125,411
1,1,500,0,4,3,0,2,50,100,0,113
2,2,500,0,4,3,0,3,125,25,75,331
2,2,500,0,5,3,0,2,400,600,0,100
2,2,1000,0,4,2,0,3,100,50,100,297
2,1,1000,0,4,3,0,3,125,25,150,374
2,1,500,0,5,3,0,3,200,100,100,254
2,2,1000,0,4,3,0,3,200,50,50,341
2,2,500,0,4,2,0,3,75,100,100,303
2,1,500,0,4,3,0,2,50,100,0,113
1,2,500,0,4,2,0,1,150,0,0,1
2,2,500,0,4,2,0,3,400,0,600,329
2,1,500,1,4,2,0,2,150,50,0,25
1,0,500,0,3,3,0,2,300,0,0,117
2,0,1000,0,4,3,0,2,200,0,0,129
2,2,1000,1,4,2,0,2,200,400,0,51
2,2,1000,0,4,2,0,3,125,100,50,289
1,0,500,0,4,3,0,2,300,100,0,82
2,2,1000,0,4,3,0,3,200,0,150,351
1,2,500,0,3,3,0,2,200,600,0,96
2,1,1000,0,4,3,0,3,400,0,200,370
2,1,1000,0,3,3,0,3,75,100,25,388
2,2,1000,0,5,2,0,3,75,50,150,195
2,2,500,0,4,3,0,3,100,50,125,330
2,1,500,0,4,3,0,2,600,0,0,121
2,2,1000,0,5,3,0,3,75,25,50,231
2,1,500,1,4,2,0,2,200,100,0,31
2,1,1000,0,5,3,0,3,100,50,75,240
2,1,500,0,5,2,0,3,50,0,25,287
2,2,1000,0,4,3,0,3,75,100,125,342
2,1,1000,1,4,2,0,2,600,200,0,65
2,1,500,0,4,3,0,3,75,75,125,359
1,2,500,0,4,1,0,3,150,0,100,411
2,2,1000,0,5,3,0,2,50,100,0,115
2,1,1000,0,5,2,0,3,75,0,125,189
2,1,1000,0,5,3,0,3,50,100,75,244
2,2,500,1,5,1,0,3,300,0,100,280
2,2,1000,1,5,2,0,2,150,50,0,45
1,2,500,0,5,1,0,2,75,0,25,392
2,0,1000,1,4,2,0,2,200,100,0,31
2,1,1000,1,5,1,0,3,150,0,75,280
1,0,1000,0,3,3,0,2,100,50,0,77
2,2,1000,0,5,2,0,3,100,0,100,188
2,1,500,0,4,3,0,3,75,25,50,362
1,0,1000,1,4,2,0,2,25,10,0,69
1,2,500,1,4,2,0,2,600,200,0,65
2,1,500,0,5,2,0,3,125,75,75,193
2,1,1000,0,3,3,0,2,200,600,0,96
2,2,1000,1,5,2,0,1,150,0,0,423
2,2,1000,0,4,3,0,3,100,100,150,330
2,1,500,0,5,2,0,3,400,100,50,194
2,1,1000,0,5,2,0,3,50,25,50,201
2,2,500,0,5,2,0,3,200,50,50,197
1,0,1000,1,5,2,0,2,150,100,0,56
2,2,1000,0,5,2,0,3,125,25,75,195
2,1,500,0,4,3,0,3,50,0,125,365
2,2,1000,0,5,3,0,3,100,75,150,205
2,0,500,1,5,2,0,2,200,400,0,59
2,1,1000,0,4,3,0,3,125,100,125,374
2,1,500,0,4,2,0,3,150,0,150,318
1,2,1000,1,5,2,0,2,200,200,0,60
1,0,1000,0,5,3,0,2,400,600,0,100
2,0,500,0,4,1,0,3,75,0,75,378
1,2,500,0,4,1,0,3,75,0,125,409
2,1,500,1,4,2,0,1,400,0,0,420
2,2,1000,0,5,3,0,3,125,25,100,205
2,2,500,0,4,2,0,3,200,50,150,292
2,1,1000,0,5,2,0,3,100,50,150,175
1,1,1000,1,5,2,0,2,600,400,0,53
2,2,1000,0,5,3,0,3,50,0,125,220
2,2,1000,1,5,1,0,3,200,0,400,281
1,0,500,1,3,2,0,2,400,400,0,64
2,0,500,0,5,1,0,3,50,25,150,263
1,1,500,1,5,2,0,2,600,400,0,53
2,0,500,1,4,3,0,2,200,0,0,153
2,1,500,0,4,2,0,3,150,50,50,307
2,2,500,0,5,2,0,3,75,75,50,200
2,1,500,0,5,2,0,3,150,25,125,174
2,2,1000,0,5,3,0,3,50,50,25,238
2,2,500,0,5,2,0,3,125,25,125,166
2,2,500,0,4,3,0,3,100,0,100,349
2,2,1000,0,5,2,0,3,400,100,100,169
2,2,1000,0,5,3,0,3,400,0,600,223
1,2,1000,1,5,2,0,1,150,0,0,423
2,2,1000,1,5,1,0,3,150,0,200,279
2,1,1000,1,5,1,0,3,600,0,200,279
2,1,1000,0,5,3,0,3,400,0,50,259
2,0,1000,0,5,1,0,3,50,0,100,270
2,2,500,0,5,3,0,3,50,0,200,220
2,1,500,0,4,3,0,3,50,50,25,355
2,2,500,0,4,3,0,3,75,50,150,342
2,2,500,0,5,2,0,3,200,0,150,181
2,2,1000,0,4,3,0,3,200,100,200,332
2,2,1000,0,5,2,0,3,50,50,125,202
2,2,1000,0,4,3,0,3,75,0,25,358
2,2,500,0,4,3,0,3,125,50,150,333
2,1,500,0,4,3,0,3,150,50,150,360
2,1,1000,0,4,3,0,3,600,600,400,367
1,2,1000,1,4,2,0,2,300,50,0,32
1,1,500,0,4,1,0,3,400,0,150,414
2,2,500,0,5,3,0,3,200,400,600,213
1,0,1000,1,4,2,0,2,15,25,0,68
2,2,500,0,5,1,0,1,600,400,0,431
2,2,500,0,4,3,0,3,100,100,100,330
1,0,1000,0,5,3,0,2,200,400,0,105
2,1,500,1,3,2,0,2,600,600,0,61
2,2,1000,0,4,3,0,3,600,400,400,335
2,2,500,0,4,3,0,3,125,0,150,350
1,0,500,1,5,2,0,1,400,0,0,418
2,0,500,1,5,2,0,2,400,600,0,52
2,2,1000,0,5,3,0,3,75,50,75,231
2,1,1000,0,5,3,0,3,100,25,50,245
