"var","MeanDecreaseAccuracy","MeanDecreaseGini"
"start_month",0.300333930951381,1258.25171196987
"moore",0.260801722074344,1167.72161518711
"latency_period",0.247644404370531,1054.57514655534
"a_long",0.259616923687023,792.770589940282
"a_local",0.105302278739468,455.070469897924
"season",0.0942674333223153,288.072199957742
"seed",0.0707129190983524,237.986697189312
"beta",0.0664040762725909,221.248649867782
"a_sd",0.0107498541431391,65.009457268675
"kappa",-0.00112315218842939,2.67636842718389
