"Jamalpur,Bangladesh","Jamalpur District, Bangladesh"
"Pabna,Bangladesh","Pabna, Bangladesh"
"Mymensingh,Bangladesh","Mymensingh, Bangladesh"
"Tangail,Bangladesh","Tangail, Bangladesh"
"Khulna,Bangladesh","Khulna, Bangladesh"
"Comilla,Bangladesh","Comilla, Bangladesh"
"Rangpur,Bangladesh","Rangpur, Bangladesh"
"Jessore,Bangladesh","Jessore District, Bangladesh"
"Narayanganj,Bangladesh","Narayanganj, Bangladesh"
"Barisal,Bangladesh","Barisal, Bangladesh"
"Rajshahi,Bangladesh","Rajshahi, Bangladesh"
"Saidpur,Bangladesh","Saidpur, Bangladesh"
"Chittagong,Bangladesh","Chittagong, Bangladesh"
"Nawabganj,Bangladesh","Chapainawabganj District, Bangladesh"
"Sylhet,Bangladesh","Sylhet, Bangladesh"
"Dhaka,Bangladesh","Dhaka, Bangladesh"
