"Phnom Penh,Cambodia","Phnom Penh, Cambodia"
"Phnum Tbeng Meanchey,Cambodia","Phnom Tbeng Meanchey, Cambodia"
"Kompong Chhnang,Cambodia","Kampong Chhnang Province, Cambodia"
"Sisophon,Cambodia","Krong Serei Saophoan, Cambodia"
"Senmonorom,Cambodia","Krong Saen Monourom, Cambodia"
"Stoeng Treng,Cambodia","Steung Treng Province, Cambodia"
"Takeo,Cambodia","Tako Province, Cambodia"
"Kampong Spoe,Cambodia","Kampong Speu Province, Cambodia"
"Prey Veng,Cambodia","Prey Veng Province, Cambodia"
"Kampot,Cambodia","Krong Kampot, Cambodia"
"Svay Rieng,Cambodia","Svay Rieng Province, Cambodia"
"Lumphat,Cambodia","Lumphat, Cambodia"
"Pursat,Cambodia","Krong Pursat, Cambodia"
"Battambang,Cambodia","Krong Battambang, Cambodia"
"Krong Koh Kong,Cambodia","Koh Kong Province, Cambodia"
"Siem Reap,Cambodia","Krong Siem Reap, Cambodia"
"Kampong Thum,Cambodia","Kampong Thom Province, Cambodia"
"Kampong Cham,Cambodia","Krong Kampong Cham, Cambodia"
"Takeo,Cambodia","Tako Province, Cambodia"
"Krong Kracheh,Cambodia","Krong Kracheh, Cambodia"
