Kampong Spoe,Kampong Thum,285,229
Kampong Spoe,Prey Veng,250,179
Kampong Spoe,Phnum Tbeng Meanchey,317,303
Kampong Spoe,Stoeng Treng,427,429
Kampong Spoe,Senmonorom,452,436
Kampong Spoe,Lumphat,557,547
Kampong Spoe,Svay Rieng,251,205
Kampong Spoe,Sisophon,406,343
Kampong Spoe,Krong Koh Kong,253,254
Kampong Spoe,Pursat,196,158
Kampong Spoe,Kampong Cham,186,153
Kampong Spoe,Kompong Chhnang,134,91
Kampong Spoe,Kampot,175,160
Kampong Spoe,Takeo,167,123
Kampong Spoe,Battambang,313,273
Kampong Spoe,Siem Reap,347,346
Kampong Spoe,Phnom Penh,105,71
Kampong Thum,Prey Veng,320,268
Kampong Thum,Phnum Tbeng Meanchey,155,124
Kampong Thum,Stoeng Treng,266,249
Kampong Thum,Senmonorom,475,404
Kampong Thum,Lumphat,390,413
Kampong Thum,Svay Rieng,364,326
Kampong Thum,Sisophon,299,299
Kampong Thum,Krong Koh Kong,491,456
Kampong Thum,Pursat,367,331
Kampong Thum,Kampong Cham,197,141
Kampong Thum,Kompong Chhnang,276,232
Kampong Thum,Kampot,372,332
Kampong Thum,Takeo,349,288
Kampong Thum,Battambang,381,358
Kampong Thum,Siem Reap,208,196
Kampong Thum,Phnom Penh,243,201
Prey Veng,Phnum Tbeng Meanchey,348,343
Prey Veng,Stoeng Treng,379,356
Prey Veng,Senmonorom,332,309
Prey Veng,Lumphat,447,457
Prey Veng,Svay Rieng,107,70
Prey Veng,Sisophon,469,488
Prey Veng,Krong Koh Kong,423,378
Prey Veng,Pursat,327,298
Prey Veng,Kampong Cham,142,98
Prey Veng,Kompong Chhnang,237,199
Prey Veng,Kampot,292,247
Prey Veng,Takeo,243,177
Prey Veng,Battambang,421,393
Prey Veng,Siem Reap,379,385
Prey Veng,Phnom Penh,149,107
Phnum Tbeng Meanchey,Stoeng Treng,165,170
Phnum Tbeng Meanchey,Senmonorom,408,482
Phnum Tbeng Meanchey,Lumphat,289,335
Phnum Tbeng Meanchey,Svay Rieng,397,401
Phnum Tbeng Meanchey,Sisophon,308,302
Phnum Tbeng Meanchey,Krong Koh Kong,524,531
Phnum Tbeng Meanchey,Pursat,400,406
Phnum Tbeng Meanchey,Kampong Cham,230,216
Phnum Tbeng Meanchey,Kompong Chhnang,309,307
Phnum Tbeng Meanchey,Kampot,405,407
Phnum Tbeng Meanchey,Takeo,382,363
Phnum Tbeng Meanchey,Battambang,390,361
Phnum Tbeng Meanchey,Siem Reap,217,199
Phnum Tbeng Meanchey,Phnom Penh,276,276
Stoeng Treng,Senmonorom,270,321
Stoeng Treng,Lumphat,151,174
Stoeng Treng,Svay Rieng,376,342
Stoeng Treng,Sisophon,369,399
Stoeng Treng,Krong Koh Kong,632,657
Stoeng Treng,Pursat,508,531
Stoeng Treng,Kampong Cham,293,282
Stoeng Treng,Kompong Chhnang,418,432
Stoeng Treng,Kampot,514,532
Stoeng Treng,Takeo,491,488
Stoeng Treng,Battambang,451,457
Stoeng Treng,Siem Reap,278,296
Stoeng Treng,Phnom Penh,384,401
Senmonorom,Lumphat,144,162
Senmonorom,Svay Rieng,326,295
Senmonorom,Sisophon,619,624
Senmonorom,Krong Koh Kong,626,636
Senmonorom,Pursat,529,538
Senmonorom,Kampong Cham,276,264
Senmonorom,Kompong Chhnang,438,439
Senmonorom,Kampot,507,511
Senmonorom,Takeo,481,459
Senmonorom,Battambang,623,634
Senmonorom,Siem Reap,529,521
Senmonorom,Phnom Penh,373,368
Lumphat,Svay Rieng,441,442
